Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Subperiods,Hours_per_period,Sub_Weights
,,,,144,1327.264228,9907.832840000001,3765.428522,8387.081717158366,3423.2863479537073,6330.822444887935,0.0,,,
,,,,145,1237.33348,9144.359263,3484.6416200000012,7937.240082092502,3239.678177675394,5991.268400232109,0.0,,,
,,,,146,1152.592963,8381.922835,3185.3422360000004,7374.505115943488,3009.9912624766234,5566.499061579895,0.0,,,
,,,,147,1093.878415,7804.977865000003,2957.012899,6907.448086505901,2819.3564258899573,5213.950317604145,0.0,,,
,,,,148,1059.0345949999999,7489.981575,2823.295735,6618.660885683691,2701.4845229590546,4995.96502135726,0.0,,,
,,,,149,1025.9568960000001,7302.323226,2747.192908,6443.409103391696,2629.9534405150393,4863.679686093269,0.0,,,
,,,,150,1020.654922,7233.93531,2717.3571880000004,6345.806772122239,2590.115897561376,4790.006500316391,0.0,,,
,,,,151,1042.1363219999996,7302.033186,2745.127994,6344.955816587049,2589.768570020692,4789.364173392264,0.0,,,
,,,,152,1095.548813,7578.5205,2858.269209,6472.760469701141,2641.933546941731,4885.834983357134,0.0,,,
,,,,153,1179.4903000000004,8103.340499,3056.7742,6782.008846690434,2768.1569203122917,5119.26499299728,0.0,,,
,,,,154,1285.539985,8680.439611,3280.996259,7145.593194851125,2916.5581613353556,5393.709433813523,0.0,,,
,,,,155,1387.5736949999994,9365.194779,3565.9010240000002,7617.742443811294,3109.271447394712,5750.101938793998,0.0,,,
,,,,156,1445.824121,9915.604145,3777.7766520000014,8031.812804351245,3278.2791499700647,6062.654745678695,0.0,,,
,,,,157,1465.161757,10177.618237,3887.825512,8321.124500876273,3396.365132009717,6281.035947114015,0.0,,,
,,,,158,1462.9447089999999,10243.203945000001,3886.79059,8391.78719460941,3425.2069440873797,6334.37428130322,0.0,,,
